#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## alpha: "alpha" in the cutoff power-law model (equation below).
## alpha_low: The lower limit of "alpha" (90% confidence region).
## alpha_hi: The upper limit of "alpha" (90% confidence region).
## norm: The normalization factor in the cutoff power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## Epeak: "Epeak" in the cutoff power-law model (equation below).
## Epeak_low: The lower limit of "Epeak" (90% confidence region).
## Epeak_hi: The upper limit of "Epeak" (90% confidence region).
## norm: The normalization factor in the cutoff power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## norm_low: The lower limit of "norm" (90% confidence region). 
## norm_hi: The upper limit of "norm" (90% confidence region).
## chi2: chi^2 from the fitting, reported by XSPEC.
## reduced_chi2: reduced chi^2 reported by XSPEC.
## null_prob: The null probability of the model, reported by XSPEC.
## enrom: The normalization energy in the cutoff power-law model (eaution below). "enorm" is set to 50 keV in all analyses.
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## Note -- Cutoff power-law (CPL) equation: f = norm*((E/enorm)^{alpha})*(exp(-E(2+alpha)/Epeak))
#####################################################################################
#####################################################################################
GRBname | Trig_ID | alpha | alpha_low | alpha_hi | Epeak | Epeak_low | Epeak_hi | norm | norm_low | norm_hi | chi2 | dof | reduced_chi2 | null_prob | enorm | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB200829A   |    993768    | -9.193700e-01 | -9.699920e-01 | -8.171110e-01 | 6.942120e+02 | 3.903640e+02 | 7.927660e+03 | 1.807390e-02 | 1.672700e-02 | 1.967580e-02 | 18.08 | 56 | 0.373509 | 1.00e+00 | 50.0000 | 278.8 | -74.768000 | 204.076000 |  
GRB200819A   |    992099    | -1.727960e+00 | -2.116240e+00 | -4.008440e-01 | 3.265710e+01 | 1.764120e+00 | 0.000000e+00 | 1.820890e-03 | 8.465910e-04 | 1.236660e-02 | 54.09 | 56 | 0.954035 | 5.48e-01 | 50.0000 | 31.04 | -0.712000 | 30.328000 |  
GRB200809B   |    987745    | -1.172560e+00 | -2.329640e+00 | -9.189640e-01 | 9.999360e+03 | N/A | N/A | 9.046160e-03 | N/A | N/A | 67.08 | 56 | 1.17632 | 1.47e-01 | 50.0000 | 4.508 | 0.000000 | 4.508000 |  
GRB200806A   |    987016    | -7.488130e-01 | -8.605300e-01 | -6.345400e-01 | 1.733200e+02 | 1.515300e+02 | 2.076480e+02 | 4.019550e-02 | 3.640310e-02 | 4.446360e-02 | 36.81 | 56 | 1.56579 | 9.78e-01 | 50.0000 | 61.44 | -0.132000 | 61.308000 |  
GRB200729A   |    984929    | -6.215130e-04 | -1.025720e+00 | 1.637790e+00 | 1.359770e+02 | 8.697940e+01 | 0.000000e+00 | 2.456080e-03 | 9.399130e-04 | 9.474800e-03 | 39.86 | 56 | 0.73 | 9.49e-01 | 50.0000 | 136 | 0.536000 | 136.536000 |  
GRB200716C   |    982707    | -1.571590e+00 | -1.704430e+00 | -1.242840e+00 | 3.747030e+02 | 0.000000e+00 | 0.000000e+00 | 3.559720e-03 | 3.199380e-03 | 5.155980e-03 | 34.07 | 56 | 0.598421 | 9.91e-01 | 50.0000 | 113.1 | -0.420000 | 112.632000 |  
GRB200713A   |    982201    | -1.251140e+00 | -1.996680e+00 | 1.004170e+00 | 2.152960e+01 | 2.600270e+00 | 3.285260e+01 | 1.029700e-02 | 0.000000e+00 | 3.253270e-01 | 40.95 | 56 | 0.751053 | 9.34e-01 | 50.0000 | 47.53 | 18.448000 | 65.980000 |  
GRB200711A   |    981957    | -1.093600e+00 | -1.456480e+00 | -6.540970e-01 | 1.528100e+02 | 9.349640e+01 | 0.000000e+00 | 2.254220e-02 | 1.541740e-02 | 3.589790e-02 | 53.94 | 56 | 0.978596 | 5.53e-01 | 50.0000 | 34.45 | -4.720000 | 29.728000 |  
GRB200701A   |    980421    | -1.519300e+00 | -2.163730e+00 | -6.853660e-01 | 4.574280e+01 | N/A | N/A | 3.659610e-03 | N/A | N/A | 65.96 | 56 | 1.17737 | 1.70e-01 | 50.0000 | 48.98 | -6.808000 | 42.168000 |  
GRB200630A   |    980210    | -1.646540e+00 | -1.874800e+00 | -1.370010e+00 | 9.999360e+03 | 1.000070e-02 | 0.000000e+00 | 2.897800e-03 | 1.491920e-03 | 5.472880e-03 | 38.56 | 56 | 0.676316 | 9.64e-01 | 50.0000 | 17.15 | -0.512000 | 16.636000 |  
